"recipe_id","recipe_name","descr","cooking_time","default_servings","proced","video_link","calories","protein","carbs","fats","fiber","recipe_image"
72,"Chickpea Curry","Vegetarian protein-rich dish",35,4,"1. Sauté onions.,2. Add garlic and ginger.,3. Stir in spices.,4. Add tomatoes.,5. Mix in chickpeas.,6. Simmer 15 minutes.,7. Finish with cilantro.,8. Serve with rice.","https://youtu.be/chickpea-curry",300,12.0,35.0,12.0,8.0,"chickpea_curry.jpg"
73,"Banana Bread","Moist sweet bread",60,8,"1. Mash ripe bananas.,2. Cream butter and sugar.,3. Add eggs one at a time.,4. Mix dry ingredients.,5. Combine wet and dry.,6. Pour into loaf pan.,7. Bake until done.,8. Cool before slicing.","https://youtu.be/banana-bread",250,4.0,35.0,10.0,3.0,"banana_bread.jpg"
74,"Roast Chicken","Juicy whole roasted chicken",90,4,"1. Preheat oven.,2. Season chicken.,3. Stuff cavity.,4. Truss legs.,5. Roast breast-side up.,6. Baste occasionally.,7. Check temperature.,8. Rest before carving.","https://youtu.be/roast-chicken",400,45.0,0.0,25.0,0.0,"roast_chicken.jpg"
75,"Mexican Burrito","Hearty stuffed tortilla",20,1,"1. Warm tortilla.,2. Layer cooked rice.,3. Add beans.,4. Top with meat.,5. Add cheese.,6. Include salsa.,7. Fold sides in.,8. Roll tightly.","https://youtu.be/mexican-burrito",550,25.0,50.0,25.0,6.0,"mexican_burrito.jpg"
76,"Beef Tacos","Flavorful Mexican street food",25,4,"1. Brown ground beef.,2. Add taco seasoning.,3. Warm taco shells.,4. Prepare toppings.,5. Fill shells with beef.,6. Add lettuce.,7. Top with cheese.,8. Serve with salsa.","https://youtu.be/beef-tacos",350,20.0,25.0,18.0,3.0,"beef_tacos.jpg"
77,"Pizza","Classic Italian pie",30,4,"1. Prepare dough.,2. Roll out base.,3. Spread sauce.,4. Add toppings.,5. Sprinkle cheese.,6. Bake until bubbly.,7. Cool slightly.,8. Slice and serve.","https://youtu.be/pizza",400,15.0,45.0,18.0,3.0,"pizza.jpg"
78,"Vegetarian Lasagna","Meat-free pasta bake",60,6,"1. Cook lasagna sheets.,2. Prepare vegetable mix.,3. Make béchamel sauce.,4. Layer sheets and fillings.,5. Repeat layers.,6. Top with cheese.,7. Bake until golden.,8. Rest before serving.","https://youtu.be/vegetarian-lasagna",350,18.0,40.0,15.0,6.0,"vegetarian_lasagna.jpg"
79,"Thai Green Curry","Spicy coconut curry",35,4,"1. Sauté curry paste.,2. Add coconut milk.,3. Include vegetables.,4. Add protein.,5. Simmer until cooked.,6. Adjust seasoning.,7. Add basil leaves.,8. Serve with rice.","https://youtu.be/thai-green-curry",450,20.0,25.0,30.0,4.0,"thai_green_curry.jpg"
80,"Chicken Caesar Salad","Classic salad with grilled chicken",20,2,"1. Grill chicken breasts.,2. Chop romaine lettuce.,3. Make dressing.,4. Toss with croutons.,5. Slice chicken.,6. Add to salad.,7. Shave parmesan.,8. Season with pepper.","https://youtu.be/chicken-caesar-salad",400,35.0,15.0,25.0,3.0,"chicken_caesar_salad.jpg"
81,"Mediterranean Grilled Chicken","Herb-marinated chicken",30,4,"1. Prepare marinade.,2. Coat chicken pieces.,3. Refrigerate 2 hours.,4. Preheat grill.,5. Grill until done.,6. Rest meat.,7. Slice diagonally.,8. Serve with sides.","https://youtu.be/mediterranean-grilled-chicken",350,40.0,5.0,18.0,2.0,"mediterranean_grilled_chicken.jpg"
82,"Tuna Sandwich","Classic lunch sandwich",10,1,"1. Drain tuna.,2. Mix with mayonnaise.,3. Add diced celery.,4. Season to taste.,5. Toast bread.,6. Spread tuna mix.,7. Add lettuce.,8. Cut diagonally.","https://youtu.be/tuna-sandwich",350,25.0,30.0,15.0,3.0,"tuna_sandwich.jpg"
83,"Beef Lasagna","Hearty meat and cheese pasta",75,6,"1. Brown ground beef.,2. Prepare tomato sauce.,3. Cook lasagna sheets.,4. Layer sheets and fillings.,5. Repeat layers.,6. Top with cheese.,7. Bake until bubbly.,8. Rest before serving.","https://youtu.be/beef-lasagna",550,35.0,40.0,30.0,4.0,"beef_lasagna.jpg"
84,"Fried Rice","Asian-style leftover rice dish",20,2,"1. Cook day-old rice.,2. Scramble eggs.,3. Sauté vegetables.,4. Add rice.,5. Stir in soy sauce.,6. Mix in eggs.,7. Add protein if desired.,8. Garnish with green onion.","https://youtu.be/fried-rice",400,15.0,50.0,15.0,3.0,"fried_rice.jpg"
85,"Granola Bars","Chewy homemade snack bars",35,8,"1. Mix oats and nuts.,2. Heat honey and butter.,3. Combine all ingredients.,4. Press into pan.,5. Bake until set.,6. Cool completely.,7. Cut into bars.,8. Store airtight.","https://youtu.be/granola-bars",200,5.0,25.0,8.0,3.0,"granola_bars.jpg"
86,"Fruit Salad","Fresh mixed fruit",15,4,"1. Wash all fruits.,2. Peel and chop.,3. Combine in bowl.,4. Add citrus juice.,5. Toss gently.,6. Chill before serving.,7. Garnish with mint.,8. Serve cold.","https://youtu.be/fruit-salad",150,2.0,35.0,0.5,5.0,"fruit_salad.jpg"
87,"Spaghetti Carbonara","Creamy Italian pasta",25,2,"1. Cook pasta al dente.,2. Sauté pancetta.,3. Whisk eggs and cheese.,4. Reserve pasta water.,5. Toss hot pasta with egg mix.,6. Add pancetta.,7. Adjust consistency.,8. Season with pepper.","https://youtu.be/spaghetti-carbonara",600,25.0,50.0,30.0,2.0,"spaghetti_carbonara.jpg"
88,"Chocolate Pancakes","Decadent breakfast treat",25,2,"1. Mix dry ingredients.,2. Add cocoa powder.,3. Combine wet ingredients.,4. Make smooth batter.,5. Heat griddle.,6. Cook pancakes.,7. Flip when bubbly.,8. Serve with syrup.","https://youtu.be/chocolate-pancakes",350,8.0,45.0,15.0,3.0,"chocolate_pancakes.jpg"
89,"Peanut Butter Sandwich","Simple protein-packed snack",5,1,"1. Spread peanut butter.,2. Add jelly if desired.,3. Top with second slice.,4. Cut diagonally.,5. Serve with milk.,6. Optional: add banana.,7. Press for panini.,8. Enjoy immediately.","https://youtu.be/peanut-butter-sandwich",350,12.0,35.0,18.0,4.0,"peanut_butter_sandwich.jpg"
90,"BBQ Chicken Pizza","Tangy barbecue pizza",30,4,"1. Roll out dough.,2. Spread BBQ sauce.,3. Add cooked chicken.,4. Include red onions.,5. Top with cheese.,6. Bake until golden.,7. Garnish with cilantro.,8. Slice and serve.","https://youtu.be/bbq-chicken-pizza",450,25.0,40.0,20.0,3.0,"bbq_chicken_pizza.jpg"
91,"Grilled Steak","Perfectly cooked beef",25,2,"1. Season steak.,2. Preheat grill.,3. Sear both sides.,4. Move to indirect heat.,5. Cook to temperature.,6. Rest before slicing.,7. Slice against grain.,8. Serve with sides.","https://youtu.be/grilled-steak",500,45.0,2.0,35.0,0.0,"grilled_steak.jpg"
92,"Falafel Wrap","Middle Eastern vegetarian wrap",30,2,"1. Prepare falafel mix.,2. Form into patties.,3. Fry until golden.,4. Warm pita bread.,5. Spread hummus.,6. Add falafel.,7. Include vegetables.,8. Roll and serve.","https://youtu.be/falafel-wrap",400,15.0,40.0,18.0,6.0,"falafel_wrap.jpg"
93,"Seafood Paella","Spanish rice dish",60,4,"1. Sauté aromatics.,2. Add rice and toast.,3. Pour in stock.,4. Arrange seafood.,5. Simmer uncovered.,6. Add peas last.,7. Form socarrat.,8. Rest before serving.","https://youtu.be/seafood-paella",550,35.0,45.0,20.0,3.0,"seafood_paella.jpg"
94,"Tandoori Chicken","Indian spiced grilled chicken",45,4,"1. Make deep cuts in chicken.,2. Prepare yogurt marinade.,3. Coat chicken thoroughly.,4. Marinate overnight.,5. Skewer for grilling.,6. Cook in tandoor or oven.,7. Baste with butter.,8. Serve with lemon.","https://youtu.be/tandoori-chicken",400,45.0,5.0,20.0,1.0,"tandoori_chicken.jpg"
95,"Miso Soup with Rice","Japanese comfort meal",20,2,"1. Prepare dashi stock.,2. Dissolve miso paste.,3. Add tofu cubes.,4. Include wakame.,5. Cook rice separately.,6. Ladle soup over rice.,7. Garnish with scallions.,8. Serve immediately.","https://youtu.be/miso-soup-rice",300,12.0,40.0,8.0,3.0,"miso_soup_rice.jpg"
96,"Lentil Soup","Hearty vegetarian soup",45,4,"1. Sauté vegetables.,2. Add rinsed lentils.,3. Pour in stock.,4. Simmer until tender.,5. Blend partially.,6. Adjust seasoning.,7. Finish with lemon.,8. Garnish with herbs.","https://youtu.be/lentil-soup",250,15.0,30.0,8.0,10.0,"lentil_soup.jpg"
97,"Shrimp Tacos","Coastal Mexican-inspired tacos",30,4,"1. Marinate shrimp.,2. Prepare slaw.,3. Make crema sauce.,4. Warm tortillas.,5. Grill shrimp.,6. Assemble tacos.,7. Top with slaw.,8. Drizzle with crema.","https://youtu.be/shrimp-tacos",350,25.0,25.0,15.0,3.0,"shrimp_tacos.jpg"
98,"Veggie Burger","Plant-based burger patty",30,2,"1. Prepare bean mixture.,2. Add breadcrumbs.,3. Form patties.,4. Chill before cooking.,5. Cook until firm.,6. Toast buns.,7. Assemble with toppings.,8. Serve with sides.","https://youtu.be/veggie-burger",300,15.0,35.0,12.0,8.0,"veggie_burger.jpg"
99,"Pho Noodles","Vietnamese beef noodle soup",120,4,"1. Char aromatics.,2. Simmer broth.,3. Skim impurities.,4. Soak rice noodles.,5. Slice beef thinly.,6. Blanch noodles.,7. Assemble bowls.,8. Add garnishes.","https://youtu.be/pho-noodles",450,35.0,40.0,15.0,3.0,"pho_noodles.jpg"
100,"Club Sandwich","Triple-decker classic",20,1,"1. Toast bread slices.,2. Spread mayonnaise.,3. Layer turkey.,4. Add bacon.,5. Include lettuce.,6. Add tomato.,7. Repeat layers.,8. Secure with toothpicks.","https://youtu.be/club-sandwich",550,30.0,35.0,30.0,3.0,"club_sandwich.jpg"
101,"Nuts and Raisins","Simple trail mix snack",5,1,"1. Measure equal parts nuts and raisins.,2. Combine in bowl.,3. Mix thoroughly.,4. Store in airtight container.,5. Serve by the handful.","https://youtu.be/nuts-raisins",300,8.0,30.0,18.0,4.0,"nuts_raisins.jpg"
102,"Apple Slices with Peanut Butter","Crunchy sweet snack",5,1,"1. Wash and core apple.,2. Slice into wedges.,3. Spread peanut butter.,4. Arrange on plate.,5. Optional: add raisins.","https://youtu.be/apple-pb",250,6.0,25.0,12.0,5.0,"apple_pb.jpg"
103,"Cheese Crackers","Baked cheese snacks",25,4,"1. Grate cheddar cheese.,2. Mix with flour and butter.,3. Roll dough thin.,4. Cut into squares.,5. Bake until crisp.","https://youtu.be/cheese-crackers",180,5.0,15.0,10.0,1.0,"cheese_crackers.jpg"
104,"Toast with Jam","Classic breakfast toast",5,1,"1. Toast bread slices.,2. Spread butter.,3. Add favorite jam.,4. Cut diagonally.,5. Serve warm.","https://youtu.be/toast-jam",200,3.0,35.0,5.0,2.0,"toast_jam.jpg"
105,"Granola with Milk","Cereal breakfast",2,1,"1. Pour granola in bowl.,2. Add cold milk.,3. Optional: add fruit.,4. Serve immediately.","https://youtu.be/granola-milk",250,6.0,35.0,8.0,4.0,"granola_milk.jpg"
106,"Oatmeal with Honey","Warm breakfast porridge",10,1,"1. Cook oats with water.,2. Stir continuously.,3. Add pinch of salt.,4. Drizzle honey.,5. Top with nuts.","https://youtu.be/oatmeal-honey",220,5.0,35.0,5.0,4.0,"oatmeal_honey.jpg"
107,"Trail Mix","Energy-boosting snack mix",5,8,"1. Combine nuts and seeds.,2. Add dried fruits.,3. Mix in chocolate chips.,4. Store in jars.,5. Portion as needed.","https://youtu.be/trail-mix",280,8.0,25.0,16.0,4.0,"trail_mix.jpg"
108,"Porridge","Simple grain breakfast",15,1,"1. Boil water or milk.,2. Stir in oats.,3. Cook until thick.,4. Add sweetener.,5. Serve warm.","https://youtu.be/porridge",180,5.0,30.0,3.0,4.0,"porridge.jpg"
109,"Oatmeal with Cinnamon","Spiced morning oats",10,1,"1. Cook rolled oats.,2. Add cinnamon.,3. Stir in milk.,4. Top with banana.,5. Drizzle honey.","https://youtu.be/oatmeal-cinnamon",200,6.0,30.0,5.0,4.0,"oatmeal_cinnamon.jpg"
110,"Banana Chips","Crispy dehydrated fruit",240,4,"1. Slice bananas thin.,2. Soak in lemon water.,3. Arrange on trays.,4. Dehydrate until crisp.,5. Store airtight.","https://youtu.be/banana-chips",150,1.0,20.0,7.0,3.0,"banana_chips.jpg"
111,"Energy Bar","Homemade protein bars",30,8,"1. Mix dates and nuts.,2. Add protein powder.,3. Press into pan.,4. Chill until firm.,5. Cut into bars.","https://youtu.be/energy-bar",200,10.0,20.0,8.0,3.0,"energy_bar.jpg"
112,"Mixed Nuts","Healthy protein snack",2,4,"1. Combine assorted nuts.,2. Add sea salt.,3. Roast optionally.,4. Store in jars.","https://youtu.be/mixed-nuts",320,12.0,10.0,25.0,4.0,"mixed_nuts.jpg"
113,"Dark Chocolate","Rich cocoa snack",1,1,"1. Unwrap chocolate.,2. Break into pieces.,3. Serve at room temp.,4. Store in cool place.","https://youtu.be/dark-chocolate",150,2.0,10.0,12.0,3.0,"dark_chocolate.jpg"
114,"Carrot Sticks with Hummus","Crunchy veggie dip",10,2,"1. Peel and cut carrots.,2. Prepare hummus.,3. Arrange on plate.,4. Sprinkle paprika.,5. Serve chilled.","https://youtu.be/carrot-hummus",180,5.0,15.0,10.0,5.0,"carrot_hummus.jpg"
115,"Berries with Cream","Simple fruit dessert",5,2,"1. Wash berries.,2. Whip fresh cream.,3. Layer in bowls.,4. Dust with sugar.,5. Serve cold.","https://youtu.be/berries-cream",200,2.0,20.0,12.0,4.0,"berries_cream.jpg"
116,"Chia Pudding","Overnight healthy dessert",480,2,"1. Mix chia seeds with milk.,2. Add sweetener.,3. Refrigerate overnight.,4. Top with fruit.,5. Serve chilled.","https://youtu.be/chia-pudding",220,6.0,15.0,12.0,8.0,"chia_pudding.jpg"
117,"Celery with Dip","Low-calorie crunchy snack",5,2,"1. Wash and cut celery.,2. Prepare ranch dip.,3. Fill stalks with dip.,4. Chill before serving.","https://youtu.be/celery-dip",100,2.0,5.0,7.0,2.0,"celery_dip.jpg"
118,"Aloo Gobi","Spiced potato cauliflower stir-fry",30,4,"1. Heat oil in kadai, add cumin.,2. Sauté onions until golden.,3. Add ginger-garlic paste, cook.,4. Add chopped tomatoes, spices.,5. Mix in cauliflower florets.,6. Add potato cubes, cover.,7. Cook until tender, garnish.","https://youtu.be/aloo-gobi",250,5.0,30.0,8.0,5.0,"aloo_gobi.jpg"
119,"Baingan Bharta","Smoky roasted eggplant mash",40,4,"1. Roast eggplant over flame.,2. Peel and mash pulp.,3. Sauté onions, tomatoes.,4. Add spices, turmeric.,5. Mix in eggplant mash.,6. Simmer for 10 mins.,7. Finish with coriander.","https://youtu.be/baingan-bharta",280,6.0,20.0,12.0,6.0,"baingan_bharta.jpg"
120,"Dal Tadka","Tempered lentil stew",35,4,"1. Pressure cook toor dal.,2. Prepare tadka with ghee.,3. Add cumin, garlic, chilies.,4. Pour over cooked dal.,5. Simmer for 5 mins.,6. Add lemon juice.,7. Garnish with coriander.","https://youtu.be/dal-tadka",320,14.0,35.0,10.0,8.0,"dal_tadka.jpg"
121,"Rajma Masala","Creamy kidney bean curry",50,4,"1. Soak rajma overnight.,2. Pressure cook until soft.,3. Sauté onion-tomato gravy.,4. Add garam masala.,5. Mix in cooked rajma.,6. Simmer for 20 mins.,7. Finish with cream.","https://youtu.be/rajma-masala",380,15.0,45.0,12.0,10.0,"rajma_masala.jpg"
122,"Vegetable Biryani","Fragrant spiced rice dish",60,6,"1. Parboil basmati rice.,2. Sauté mixed vegetables.,3. Layer rice and veggies.,4. Add saffron milk.,5. Seal with dough.,6. Dum cook for 25 mins.,7. Serve with raita.","https://youtu.be/veg-biryani",420,12.0,60.0,15.0,8.0,"veg_biryani.jpg"
123,"Malai Kofta","Paneer dumplings in creamy gravy",55,4,"1. Mash paneer-potato mix.,2. Shape into koftas.,3. Deep fry until golden.,4. Prepare onion-tomato gravy.,5. Add cashew paste.,6. Simmer with cream.,7. Add koftas before serving.","https://youtu.be/malai-kofta",480,18.0,35.0,25.0,6.0,"malai_kofta.jpg"
124,"Methi Paratha","Fenugreek flavored flatbread",30,4,"1. Knead dough with methi.,2. Add spices, yogurt.,3. Rest for 15 mins.,4. Roll into circles.,5. Cook on tawa.,6. Apply ghee both sides.,7. Serve hot with pickle.","https://youtu.be/methi-paratha",220,7.0,30.0,8.0,5.0,"methi_paratha.jpg"
125,"Dahi Bhalla","Lentil dumplings in yogurt",40,6,"1. Soak urad dal.,2. Grind to fluffy batter.,3. Fry vadas until golden.,4. Soak in water.,5. Arrange in yogurt.,6. Add tamarind chutney.,7. Garnish with spices.","https://youtu.be/dahi-bhalla",280,8.0,25.0,12.0,3.0,"dahi_bhalla.jpg"
126,"Kadai Paneer","Paneer with bell peppers",35,4,"1. Heat oil in kadai.,2. Sauté capsicum, onions.,3. Add kadai masala.,4. Mix in paneer cubes.,5. Add tomato puree.,6. Simmer for 5 mins.,7. Finish with cream.","https://youtu.be/kadai-paneer",380,20.0,15.0,25.0,4.0,"kadai_paneer.jpg"
127,"Masala Dosa","Crispy fermented crepe",60,2,"1. Soak rice and dal.,2. Grind, ferment batter.,3. Spread on hot tawa.,4. Add potato filling.,5. Cook until crisp.,6. Fold into triangle.,7. Serve with chutney.","https://youtu.be/masala-dosa",320,8.0,50.0,10.0,5.0,"masala_dosa.jpg"
128,"Pav Bhaji","Spiced vegetable mash",40,4,"1. Boil mixed vegetables.,2. Mash with potatoes.,3. Sauté pav bhaji masala.,4. Add tomato puree.,5. Mix in veggies.,6. Cook with butter.,7. Serve with toasted pav.","https://youtu.be/pav-bhaji",350,10.0,45.0,15.0,7.0,"pav_bhaji.jpg"
129,"Chole Bhature","Chickpea with fried bread",50,4,"1. Soak chickpeas overnight.,2. Cook with tea bag.,3. Prepare bhature dough.,4. Roll and deep fry.,5. Sauté onion-tomato gravy.,6. Mix in chickpeas.,7. Garnish with ginger.","https://youtu.be/chole-bhature",550,15.0,65.0,25.0,10.0,"chole_bhature.jpg"
130,"Vegetable Jalfrezi","Stir-fried vegetable medley",25,4,"1. Heat oil in wok.,2. Sauté bell peppers.,3. Add mixed vegetables.,4. Toss with spices.,5. Add tomato slices.,6. Cook on high heat.,7. Finish with vinegar.","https://youtu.be/veg-jalfrezi",220,6.0,25.0,12.0,6.0,"veg_jalfrezi.jpg"
131,"Mushroom Matar","Mushroom-pea curry",30,4,"1. Sauté mushrooms until brown.,2. Add green peas.,3. Prepare onion-tomato base.,4. Add garam masala.,5. Simmer for 10 mins.,6. Finish with cream.,7. Garnish with coriander.","https://youtu.be/mushroom-matar",280,12.0,20.0,15.0,5.0,"mushroom_matar.jpg"
132,"Rava Upma","Semolina breakfast dish",20,2,"1. Roast rava until fragrant.,2. Sauté mustard seeds, curry leaves.,3. Add chopped vegetables.,4. Pour in boiling water.,5. Mix in rava slowly.,6. Cover and cook.,7. Garnish with coconut.","https://youtu.be/rava-upma",250,5.0,35.0,8.0,3.0,"rava_upma.jpg"
133,"Poha","Flattened rice breakfast",20,2,"1. Rinse poha gently.,2. Sauté peanuts, mustard seeds.,3. Add onions, turmeric.,4. Mix in poha.,5. Sprinkle lemon juice.,6. Garnish with sev.,7. Serve hot.","https://youtu.be/poha",220,4.0,35.0,8.0,3.0,"poha.jpg"
134,"Vegetable Pulao","Mixed vegetable rice",35,4,"1. Sauté whole spices.,2. Add mixed vegetables.,3. Add soaked rice.,4. Pour measured water.,5. Cook until done.,6. Fluff with fork.,7. Serve with raita.","https://youtu.be/veg-pulao",320,8.0,45.0,12.0,5.0,"veg_pulao.jpg"
135,"Besan Chilla","Gram flour pancakes",25,2,"1. Make besan batter.,2. Add chopped veggies.,3. Heat tawa, pour batter.,4. Cook both sides.,5. Apply ghee edges.,6. Serve with chutney.,7. Sprinkle chaat masala.","https://youtu.be/besan-chilla",180,8.0,15.0,10.0,4.0,"besan_chilla.jpg"
136,"Khandvi","Chickpea flour rolls",40,4,"1. Cook besan-yogurt mix.,2. Spread thinly on surface.,3. Roll when cooled.,4. Temper with mustard seeds.,5. Garnish with coconut.,6. Chill before serving.,7. Cut into pieces.","https://youtu.be/khandvi",200,7.0,15.0,12.0,3.0,"khandvi.jpg"
137,"Gajar Halwa","Carrot pudding dessert",60,6,"1. Grate carrots finely.,2. Cook in milk.,3. Add sugar, cardamom.,4. Stir continuously.,5. Add khoya/nuts.,6. Cook until thick.,7. Serve warm.","https://youtu.be/gajar-halwa",380,8.0,45.0,20.0,5.0,"gajar_halwa.jpg"
138,"Sambar","Lentil vegetable stew",45,4,"1. Pressure cook toor dal.,2. Roast sambar powder.,3. Cook vegetables separately.,4. Combine dal and veggies.,5. Add tamarind extract.,6. Temper with mustard seeds.,7. Garnish with coriander.","https://youtu.be/sambar",280,12.0,30.0,10.0,8.0,"sambar.jpg"
139,"Coconut Chutney","Classic dosa accompaniment",15,4,"1. Grind coconut with chana dal.,2. Add green chilies, ginger.,3. Temper with mustard seeds.,4. Mix in curd.,5. Adjust consistency.,6. Add curry leaves.,7. Serve chilled.","https://youtu.be/coconut-chutney",150,3.0,5.0,12.0,3.0,"coconut_chutney.jpg"
140,"Rasam","Peppery tomato soup",30,4,"1. Cook tamarind water.,2. Add tomato puree.,3. Mix rasam powder.,4. Temper with ghee.,5. Add cooked toor dal.,6. Finish with coriander.,7. Serve hot.","https://youtu.be/rasam",120,5.0,15.0,5.0,3.0,"rasam.jpg"
141,"Avial","Mixed vegetable coconut curry",40,4,"1. Cut vegetables uniformly.,2. Cook with turmeric.,3. Grind coconut-cumin paste.,4. Mix with curd.,5. Combine with veggies.,6. Add coconut oil.,7. Garnish with curry leaves.","https://youtu.be/avial",220,6.0,20.0,12.0,6.0,"avial.jpg"
142,"Bisi Bele Bath","Spicy rice-lentil dish",50,4,"1. Pressure cook rice-dal mix.,2. Roast bisi bele bath powder.,3. Cook vegetables separately.,4. Combine all ingredients.,5. Add tamarind pulp.,6. Temper with ghee.,7. Serve with papad.","https://youtu.be/bisi-bele-bath",350,10.0,45.0,15.0,7.0,"bisi_bele_bath.jpg"
143,"Pongal","Comforting rice-lentil porridge",35,4,"1. Cook rice-moong dal.,2. Add cumin-ginger paste.,3. Temper with ghee.,4. Add black pepper.,5. Mix cashews.,6. Cook until creamy.,7. Serve hot.","https://youtu.be/pongal",300,8.0,35.0,12.0,4.0,"pongal.jpg"
144,"Uttapam","Thick savory pancake",30,2,"1. Ferment dosa batter.,2. Add chopped onions, chilies.,3. Pour thick circles.,4. Cook on low flame.,5. Flip carefully.,6. Serve with chutney.,7. Garnish with coriander.","https://youtu.be/uttapam",220,6.0,30.0,8.0,4.0,"uttapam.jpg"
145,"Vada","Crispy lentil donuts",40,4,"1. Soak urad dal.,2. Grind to fluffy batter.,3. Shape into rings.,4. Deep fry until golden.,5. Drain on paper.,6. Serve with sambar.,7. Sprinkle with salt.","https://youtu.be/vada",250,8.0,20.0,15.0,3.0,"vada.jpg"
146,"Kootu","Vegetable-lentil stew",45,4,"1. Cook moong dal.,2. Add chopped vegetables.,3. Grind coconut-cumin paste.,4. Mix with dal.,5. Temper with mustard.,6. Add turmeric powder.,7. Serve with rice.","https://youtu.be/kootu",280,10.0,25.0,12.0,7.0,"kootu.jpg"
147,"Kozhukattai","Rice flour dumplings",60,4,"1. Prepare rice flour dough.,2. Make jaggery-coconut filling.,3. Shape into modaks.,4. Steam for 15 mins.,5. Cool slightly.,6. Brush with ghee.,7. Serve warm.","https://youtu.be/kozhukattai",200,3.0,35.0,8.0,2.0,"kozhukattai.jpg"
148,"Curd Rice","Cooling yogurt rice",20,2,"1. Cook rice until soft.,2. Mash with curd.,3. Temper with mustard.,4. Add grated carrot.,5. Mix in pomegranate.,6. Chill for 1 hour.,7. Garnish with grapes.","https://youtu.be/curd-rice",250,6.0,30.0,10.0,2.0,"curd_rice.jpg"
149,"Tomato Rice","Tangy tomato flavored rice",30,4,"1. Cook basmati rice.,2. Prepare tomato puree.,3. Temper with whole spices.,4. Add ginger-garlic paste.,5. Mix in rice.,6. Garnish with coriander.,7. Serve with raita.","https://youtu.be/tomato-rice",300,6.0,45.0,12.0,4.0,"tomato_rice.jpg"
150,"Mysore Bonda","Spicy fried snack",40,4,"1. Prepare urad dal batter.,2. Add rice flour.,3. Mix in spices.,4. Ferment for 2 hrs.,5. Shape into balls.,6. Deep fry until crisp.,7. Serve with chutney.","https://youtu.be/mysore-bonda",280,6.0,25.0,18.0,3.0,"mysore_bonda.jpg"
151,"Puliogare","Tamarind rice",25,4,"1. Prepare puliogare paste.,2. Cook rice and cool.,3. Mix paste with rice.,4. Add roasted peanuts.,5. Temper with chana dal.,6. Garnish with curry leaves.,7. Serve with papad.","https://youtu.be/puliogare",320,7.0,40.0,15.0,5.0,"puliogare.jpg"
152,"Ragi Mudde","Finger millet balls",35,4,"1. Boil water in pan.,2. Slowly add ragi flour.,3. Stir continuously.,4. Cook until thick.,5. Shape into balls.,6. Serve with sambar.,7. Use wet hands.","https://youtu.be/ragi-mudde",180,5.0,25.0,5.0,6.0,"ragi_mudde.jpg"
153,"Neer Dosa","Thin rice crepes",30,2,"1. Soak rice for 3 hrs.,2. Grind to watery batter.,3. Heat non-stick pan.,4. Pour thin layer.,5. Cover and cook.,6. Fold into triangles.,7. Serve with chutney.","https://youtu.be/neer-dosa",150,3.0,25.0,5.0,2.0,"neer_dosa.jpg"
154,"Kerala Olan","White pumpkin curry",40,4,"1. Cook red beans.,2. Add pumpkin cubes.,3. Pour coconut milk.,4. Simmer gently.,5. Add green chilies.,6. Temper with coconut oil.,7. Garnish with curry leaves.","https://youtu.be/kerala-olan",200,5.0,15.0,12.0,5.0,"kerala_olan.jpg"
155,"Parippu Curry","Simple dal curry",35,4,"1. Cook moong dal.,2. Grind coconut-cumin.,3. Mix with dal.,4. Temper with mustard.,5. Add shallots, garlic.,6. Simmer for 5 mins.,7. Serve with rice.","https://youtu.be/parippu-curry",250,10.0,20.0,12.0,6.0,"parippu_curry.jpg"
156,"Elaneer Payasam","Tender coconut pudding",30,4,"1. Extract tender coconut water.,2. Scoop out coconut flesh.,3. Mix with condensed milk.,4. Add cardamom powder.,5. Chill for 2 hrs.,6. Garnish with nuts.,7. Serve cold.","https://youtu.be/elaneer-payasam",280,4.0,30.0,15.0,3.0,"elaneer_payasam.jpg"
157,"Puttu","Steamed rice cylinders",40,4,"1. Soak rice and grind.,2. Mix with coconut.,3. Layer in puttu maker.,4. Steam for 5 mins.,5. Serve with kadala.,6. Add banana slices.,7. Drizzle with ghee.","https://youtu.be/puttu",220,5.0,35.0,8.0,4.0,"puttu.jpg"
